Id,Label,node_type,als_seed,ensembl_id,uniprot_id,protein_description,clinvar_row_count
A0A068F3J9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A068F3J9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A068QKJ7_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A068QKJ7_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A075DIU0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A075DIU0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A075DKB4_2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,A0A075DKB4_2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,foldseek_target,0,,,,
A0A076FJ25_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A076FJ25_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A088DIE1_5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A088DIE1_5_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A088DPC8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A088DPC8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A088F6R8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A088F6R8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A088MGX0_2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A088MGX0_2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A096XNJ4_3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A096XNJ4_3_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A096XNJ9_2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A096XNJ9_2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0A8J958_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0A8J958_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0B5IXM4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0B5IXM4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0B5IXY1_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,A0A0B5IXY1_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,foldseek_target,0,,,,
A0A0B5IZJ3_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,A0A0B5IZJ3_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,foldseek_target,0,,,,
A0A0B5IZR1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0B5IZR1_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0B5J6A8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0B5J6A8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0B5J6E6_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0B5J6E6_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0B5J6H0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0B5J6H0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0B5J6Y8_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,A0A0B5J6Y8_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,foldseek_target,0,,,,
A0A0B5J965_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,A0A0B5J965_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,foldseek_target,0,,,,
A0A0B5JA18_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,A0A0B5JA18_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,foldseek_target,0,,,,
A0A0B5JA84_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0B5JA84_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0B5JBC0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0B5JBC0_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0B5JCA0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0B5JCA0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0B5JCN4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0B5JCN4_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0C5AUT8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0C5AUT8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0E3URS2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0E3URS2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0F6PMZ2_4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,A0A0F6PMZ2_4_unrelaxed_rank_001_alphafold2_ptm_model_4_seed_000,foldseek_target,0,,,,
A0A0F6THH2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0F6THH2_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0F7L5V7_1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0F7L5V7_1_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0F7Q1J2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0F7Q1J2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0G2Y3A9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0G2Y3A9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0G2Y403_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0G2Y403_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0G2Y407_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0G2Y407_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0G2Y410_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0G2Y410_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0G2Y6V0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0G2Y6V0_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0G2Y9J2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,A0A0G2Y9J2_unrelaxed_rank_001_alphafold2_ptm_model_5_seed_000,foldseek_target,0,,,,
A0A0G2YB01_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0G2YB01_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0H3TLT2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0H3TLT2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0H3TLT9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0H3TLT9_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0K1R1R2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0K1R1R2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0K1Y7K6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0K1Y7K6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0K1Y7P8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0K1Y7P8_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0M3MX67_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0M3MX67_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0M3N061_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,A0A0M3N061_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000,foldseek_target,0,,,,
A0A0M3SGV8_2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0M3SGV8_2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0M4K4V4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0M4K4V4_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0N7KVR9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0N7KVR9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
A0A0N9NKC6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0N9NKC6_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0N9P9J2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0N9P9J2_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0N9XK19_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,A0A0N9XK19_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000,foldseek_target,0,,,,
A0A0P0YMB7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,A0A0P0YMB7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000,foldseek_target,0,,,,
